State	Masjid Name	Address	Zip Code	Image? 	Link	Zakat-ul-Fitr	Email 
Alabama	Birmingham Islamic Society	2524 Hackberry Lane Hoover, AL, USA 35226	35226	.	https://www.bisweb.org/	$10.00	.
Alaska	.	.	.	.	.	.	.
Arizona	Islamic Center of Tucson	901 E 1st St, Tucson, AZ 85719	85719	.	http://www.ictucson.org/donate/	$12.00	office@ictucson.org
Arizona	Masjid Omar Ibn Al-Khattab	6225 S McClintock Dr, Tempe, AZ 85283	858283	.	http://masjidomartempe.org/	$5.00	MasjidOmarTempe@yahoo.com
Arkansas	Bentonville Islamic Center	1801 SW 2nd St, Bentonville, AR 72712	72712	.	http://www.bic-ar.org/donation.html	$10.50	.
Arkansas	Islamic Center of Little Rock	3224 Anna St, Little Rock, AR 72204	72204	.	https://theiclr.org/billing/init.php	$12.00	mccrental@theiclr.org
California	MCC East Bay - Hanafi Fitra 	5724 W Las Positas Blvd #300, Pleasanton, CA 94588	94588	.	https://us.mohid.co/ca/sanfrancisco/mcceastbay/masjid/online/donation	$5.00	contact@mcceastbay.org
California	MCC East Bay - Shafi'i Fitra	5724 W Las Positas Blvd #300, Pleasanton, CA 94588	94588	.	https://us.mohid.co/ca/sanfrancisco/mcceastbay/masjid/online/donation	$10.00	contact@mcceastbay.org
California	MCA	3003 Scott Blvd, Santa Clara, CA 95054	95054	.	http://www.mcabayarea.org/secure/zakatul-fitra.html	$15.00	fouad.khatib@mcabayarea.org
California	ISOC	Al-Rahman Plaza, Garden Grove, CA 92844	92844	.	https://give.isocmasjid.org/	$10.00	info@isocmasjid.org
California	Islamic Society of Corona	465 Santana Way, Corona, CA 92881	92881	.	https://us.mohid.co/ca/losangeles/iscn/masjid/online/donation	$15.00	 info@coronamuslims.com
California	Islamic Center of San Diego (ICSD)	7050 Eckstrom Ave, San Diego, CA 92111	92111	.	https://goodbricksapp.com/icsd.org/cause/zakat-ul-fitr	$10.00	admin@icsd.org
Colorado	Islamic Center of Fort Collins	925 W Lake St, Fort Collins, CO 80521	80521	.	https://www.icfc.org/	$11.00	info@icfc.org
Colorado	Islamic Center of Boulder	5495 Baseline Rd, Boulder, CO 80303	80303	.	http://www.bouldermuslims.com/zakat-ul-fitr-ramadan-1441-ah-2020-ad/	$12.00	.
Colorado	Masjid Ikhlas | Metropolitan Denver North Islamic Center	11141 Irma Dr, Northglenn, CO 80233	80233	.	http://www.masjidikhlas.org/zakat-al-fitr-ramadan-fundraising/	$10.00	office@masjidikhlas.org
Connecticut	.	.	.	.	.	.	.
Delaware	.	.	.	.	.	.	.
Florida	Masjid As-Sunnah	1535 Pleasant Hill Rd, Kissimmee, FL 34746	34746	.	https://masjidassunnah-fl.com/zakaat-al-fitr-giving/	$10.00	.
Florida	ICSF - All Masjids	1586 N. Goldenrod Road Orlando, FL 32807	32807	.	http://iscf.org/	$10.00	.
Florida	Islamic Center of South Florida	1641 NW 15th St, Pompano Beach, FL 33069	33069	.	http://staging.islamiccenterofsouthflorida.org/	$10.00	info@icosf.org
Georgia	Islamic Center of North Fulton	1265 Rucker Rd, Alpharetta, GA 30009	30009	.	http://icnf.org/	$10.00	support@icnf.org
Georgia	Al Farooq Masjid of Atlanta	442 14th Street NW, Atlanta, Georgia 30318	30318	.	https://us.mohid.co/ga/atlanta/afm/masjid/online/donation/index/8	$8.50	info@alfarooqmasjid.org
Georgia	Masjid Jihad	117 E 34th St, Savannah, GA 31401	31401	.	https://www.masjidjihad.com/ramadan-2020.html	$7.00	.
Georgia	Georgia Islamic Institute	177 Simonton Road, Lawrenceville, GA 30046	30046	.	http://www.georgiaislamicinstitute.com/PDF/Ramadan%20Time%20Table%202020.pdf	$7.00	hafiz2467@gmail.com
Hawaii	MAH	1935 Aleo Place, Honolulu, HI 96822	96822	.	http://www.iio.org/pay-zakat	$12.00	mah@iio.org
Idaho	ICB	3077 Christine St, Boise, ID 83704	83704	.	https://boisemuslims.org/ICB/	$10.00	.
Illinois	MAGR	5921 Darlene Drive, Rockford, IL 61109	61109	.	https://magr.org/donations/zakat-al-fitr/	$10.00	admin@magr.org
